%time      con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
996105553     350.0     349.9        15.3     56.4         0        0
996105855     350.0     349.9        14.7     56.4         0        0
996106156     350.0     349.9        14.1     56.4         0        0
996106457     350.0     349.9        15.7     56.4         0        0
996106758     350.0     349.9        16.2     56.4         0        0
996107059     350.0     349.9        15.7     56.4         0        0
996107360     350.0     349.9        16.2     56.4         0        0
996107661     350.0     349.9        16.4     56.4         0        0
996107962     350.0     349.9        14.3     56.4         0        0
996108263     350.0     349.9        14.6     56.4         0        0
996108564     350.0     349.9        14.7     56.4         0        0
996108865     350.0     349.9        15.2     56.4         0        0
996109167     350.0     349.9        15.4     56.4         0        0
996109468     350.0     349.9        14.5     56.4         0        0
996109769     350.0     349.9        14.7     56.4         0        0
996110070     350.0     349.9        15.0     56.4         0        0
996110371     350.0     349.9        14.0     56.4         0        0
996110672     350.0     349.9        14.5     56.4         0        0
996110973     350.0     349.9        14.9     56.4         0        0
996111274     350.0     349.9        14.5     56.4         0        0
996111575     350.0     349.9        13.2     56.4         0        0
996111876     350.0     349.9        15.1     56.4         0        0
996112177     350.0     349.9        16.1     56.4         0        0
996112479     350.0     349.9        14.9     56.4         0        0
996112780     350.0     349.9        15.9     56.4         0        0
996113081     350.0     349.9        15.5     56.4         0        0
996113382     350.0     349.9        15.5     56.4         0        0
996113683     350.0     349.9        16.0     56.4         0        0
996113984     350.0     349.9        16.8     56.4         0        0
996114285     350.0     349.9        16.6     56.4         0        0
996114586     350.0     349.9        16.3     56.4         0        0
996114887     350.0     349.9        14.0     56.4         0        0
996115188     350.0     349.9        15.0     56.4         0        0
996115489     350.0     349.9        13.8     56.4         0        0
996115791     350.0     349.9        14.3     56.4         0        0
996116092     350.0     349.9        15.0     56.4         0        0
996116393     350.0     349.9        15.5     56.4         0        0
996116694     350.0     349.9        16.6     56.4         0        0
996116995     350.0     349.9        15.3     56.4         0        0
996117296     350.0     349.9        15.3     56.4         0        0
996117597     350.0     349.9        14.6     56.4         0        0
996117898     350.0     349.9        14.9     56.4         0        0
996118199     350.0     350.0        13.9     56.4         0        0
996118500     350.0     349.9        15.5     56.4         0        0
996118801     350.0     349.9        14.9     56.4         0        0
996119103     350.0     349.9        14.3     56.4         0        0
996119404     350.0     349.9        15.5     56.4         0        0
996119705     350.0     349.9        16.0     56.4         0        0
996120006     350.0     349.9        15.8     56.4         0        0
996120307     350.0     349.9        14.8     56.4         0        0
996120608     350.0     349.9        14.9     56.4         0        0
996120909     350.0     349.9        15.2     56.4         0        0
996121210     350.0     349.9        15.5     56.4         0        0
996121511     350.0     349.9        15.3     56.4         0        0
996121812     350.0     349.9        14.5     56.4         0        0
996122113     350.0     349.9        15.6     56.4         0        0
996122415     350.0     349.9        15.3     56.4         0        0
996122716     350.0     349.9        14.7     56.4         0        0
996123017     350.0     349.9        16.6     56.4         0        0
996123318     350.0     349.9        15.6     56.4         0        0
996123619     350.0     349.9        15.6     56.4         0        0
996123920     350.0     349.9        14.7     56.4         0        0
996124221     350.0     349.9        14.8     56.4         0        0
996124522     350.0     349.9        14.7     56.4         0        0
996124823     350.0     349.9        15.0     56.4         0        0
996125124     350.0     349.9        17.2     56.4         0        0
996125426     350.0     349.9        16.9     56.4         0        0
996125727     350.0     349.9        16.3     56.4         0        0
996126028     350.0     349.9        15.2     56.4         0        0
996126329     350.0     349.9        15.6     56.4         0        0
996126630     350.0     349.9        14.7     56.4         0        0
996126931     350.0     349.9        14.1     56.4         0        0
996127232     350.0     349.9        15.2     56.4         0        0
996127533     350.0     349.9        14.3     56.4         0        0
996127834     350.0     349.9        14.4     56.4         0        0
996128135     350.0     349.9        15.7     56.4         0        0
996128436     350.0     349.9        14.6     56.4         0        0
996128738     350.0     349.9        15.5     56.4         0        0
996129039     350.0     349.9        16.5     56.4         0        0
996129340     350.0     349.9        16.6     56.4         0        0
996129641     350.0     349.9        16.4     56.4         0        0
996129942     350.0     349.9        16.1     56.4         0        0
996130243     350.0     349.9        14.0     56.4         0        0
996130544     350.0     349.9        15.0     56.4         0        0
996130845     350.0     349.9        14.9     56.4         0        0
996131146     350.0     349.9        15.0     56.4         0        0
996131447     350.0     349.9        14.2     56.4         0        0
996131748     350.0     349.9        15.4     56.4         0        0
996132050     350.0     349.9        15.5     56.4         0        0
996132351     350.0     349.9        15.0     56.4         0        0
996132652     350.0     349.9        15.1     56.4         0        0
996132953     350.0     349.9        15.0     56.4         0        0
996133254     350.0     349.9        15.4     56.4         0        0
996133555     350.0     349.9        16.0     56.4         0        0
996133856     350.0     349.9        15.8     56.4         0        0
996134157     350.0     349.9        16.0     56.4         0        0
996134458     350.0     249.1       271.4     38.3     29012        0
996134767     350.0     349.7        24.4     45.7        78        0
996135068     350.0     349.9        16.1     56.4         0        0
996135369     350.0     349.9        15.8     56.4         0        0
996135670     350.0     349.9        15.1     56.4         0        0
996135971     350.0     349.9        16.9     56.4         0        0
996136272     350.0     349.9        15.6     56.4         0        0
996136573     350.0     349.9        16.1     56.4         0        0
996136874     350.0     349.9        15.6     56.4         0        0
996137175     350.0     349.9        16.3     56.4         0        0
996137476     350.0     349.9        14.8     56.4         0        0
996137778     350.0     349.9        15.3     56.4         0        0
996138079     350.0     349.9        14.6     56.4         0        0
996138380     350.0     349.9        15.1     56.4         0        0
996138681     350.0     349.9        15.6     56.4         0        0
996138982     350.0     349.9        15.7     56.4         0        0
996139283     350.0     349.9        16.1     56.4         0        0
996139584     350.0     349.9        16.0     56.4         0        0
996139885     350.0     349.9        14.8     56.4         0        0
996140186     350.0     349.9        15.6     56.4         0        0
996140487     350.0     349.9        15.4     56.4         0        0
996140788     350.0     349.9        15.4     56.4         0        0
996141090     350.0     349.9        15.7     56.4         0        0
996141391     350.0     349.9        15.4     56.4         0        0
996141692     350.0     349.9        14.8     56.4         0        0
996141993     350.0     349.9        15.3     56.4         0        0
996142294     350.0     349.9        15.7     56.4         0        0
996142595     350.0     349.9        15.0     56.4         0        0
996142896     350.0     349.9        15.3     56.4         0        0
996143197     350.0     349.9        17.0     56.4         0        0
996143498     350.0     349.9        16.8     56.4         0        0
996143799     350.0     349.9        15.9     56.4         0        0
996144101     350.0     349.9        15.8     56.4         0        0
996144402     350.0     349.9        14.4     56.4         0        0
996144703     350.0     349.9        14.9     56.4         0        0
996145004     350.0     349.9        16.0     56.4         0        0
996145305     350.0     349.9        16.0     56.4         0        0
996145606     350.0     349.9        15.1     56.4         0        0
996145907     350.0     349.9        16.0     56.4         0        0
996146208     350.0     349.9        15.8     56.4         0        0
996146509     350.0     349.9        16.0     56.4         0        0
996146810     350.0     349.9        15.5     56.4         0        0
996147112     350.0     349.9        16.3     56.4         0        0
996147413     350.0     349.9        16.2     56.4         0        0
996147714     350.0     349.9        16.2     56.4         0        0
996148015     350.0     349.9        16.4     56.4         0        0
996148316     350.0     349.9        16.2     56.4         0        0
996148617     350.0     349.9        14.8     56.4         0        0
996148918     350.0     349.9        15.9     56.4         0        0
996149219     350.0     349.9        15.2     56.4         0        0
996149520     350.0     349.9        15.8     56.4         0        0
996149821     350.0     349.9        17.1     56.4         0        0
996150122     350.0     349.9        16.2     56.4         0        0
996150424     350.0     349.9        15.8     56.4         0        0
996150725     350.0     349.9        16.7     56.4         0        0
996151026     350.0     349.9        16.7     56.4         0        0
996151327     350.0     349.9        16.2     56.4         0        0
996151628     350.0     349.9        15.8     56.4         0        0
996151929     350.0     349.9        17.0     56.4         0        0
996152230     350.0     349.9        17.1     56.4         0        0
996152531     350.0     349.9        15.7     56.4         0        0
996152832     350.0     349.9        16.0     56.4         0        0
996153133     350.0     349.9        15.6     56.4         0        0
996153435     350.0     349.9        16.4     56.4         0        0
996153736     350.0     349.9        16.5     56.4         0        0
996154037     350.0     349.9        17.0     56.4         0        0
996154338     350.0     349.9        15.7     56.4         0        0
996154639     350.0     349.9        16.9     56.4         0        0
996154940     350.0     349.9        15.9     56.4         0        0
996155241     350.0     349.9        16.1     56.4         0        0
996155542     350.0     349.9        15.8     56.4         0        0
996155843     350.0     349.9        17.3     56.4         0        0
996156144     350.0     349.9        15.4     56.4         0        0
996156446     350.0     349.9        16.8     56.4         0        0
996156747     350.0     349.9        14.6     56.4         0        0
996157048     350.0     349.9        14.7     56.4         0        0
996157349     350.0     349.9        14.5     56.4         0        0
996157650     350.0     349.9        16.4     56.4         0        0
996157951     350.0     349.9        16.2     56.4         0        0
996158252     350.0     349.9        16.5     56.4         0        0
996158553     350.0     349.9        16.6     56.4         0        0
996158854     350.0     349.9        16.7     56.4         0        0
996159155     350.0     349.9        17.3     56.4         0        0
996159456     350.0     349.9        17.1     56.4         0        0
996159758     350.0     349.9        16.9     56.4         0        0
996160059     350.0     349.9        16.2     56.4         0        0
996160360     350.0     349.9        16.0     56.4         0        0
996160661     350.0     349.9        16.4     56.4         0        0
996160962     350.0     349.9        16.6     56.4         0        0
996161263     350.0     349.9        16.5     56.4         0        0
996161564     350.0     349.9        16.0     56.4         0        0
996161866     350.0     349.9        16.1     56.4         0        0
996162167     350.0     349.9        16.2     56.4         0        0
996162468     350.0     349.9        16.2     56.4         0        0
996162769     350.0     349.9        16.6     56.4         0        0
996163070     350.0     349.9        15.9     56.4         0        0
996163371     350.0     349.9        15.4     56.4         0        0
996163673     350.0     349.9        15.6     56.4         0        0
996163974     350.0     349.9        15.5     56.4         0        0
996164275     350.0     349.9        15.9     56.4         0        0
996164576     350.0     349.9        15.3     56.4         0        0
996164877     350.0     349.9        15.6     56.4         0        0
996165178     350.0     349.9        16.1     56.4         0        0
996165479     350.0     349.9        15.7     56.4         0        0
996165780     350.0     349.9        15.5     56.4         0        0
996166081     350.0     349.9        16.1     56.4         0        0
996166382     350.0     349.9        15.4     56.4         0        0
996166684     350.0     349.9        15.9     56.4         0        0
996166985     350.0     349.9        15.5     56.4         0        0
996167286     350.0     349.9        15.6     56.4         0        0
996167587     350.0     349.9        16.4     56.4         0        0
996167888     350.0     349.9        16.6     56.4         0        0
996168189     350.0     349.9        14.9     56.4         0        0
996168490     350.0     349.9        15.1     56.4         0        0
996168791     350.0     349.9        15.0     56.4         0        0
996169092     350.0     349.9        15.0     56.4         0        0
996169393     350.0     349.9        16.0     56.4         0        0
996169695     350.0     349.9        14.9     56.4         0        0
996169996     350.0     349.9        14.9     56.4         0        0
996170297     350.0     349.9        14.9     56.4         0        0
996170598     350.0     349.9        16.0     56.4         0        0
996170899     350.0     349.9        15.0     56.4         0        0
996171200     350.0     349.9        15.7     56.4         0        0
996171501     350.0     349.9        14.9     56.4         0        0
996171802     350.0     349.9        15.6     56.4         0        0
996172103     350.0     349.9        15.8     56.4         0        0
996172404     350.0     349.9        15.8     56.4         0        0
996172705     350.0     349.9        16.2     56.4         0        0
996173007     350.0     349.9        16.5     56.4         0        0
996173308     350.0     349.9        15.8     56.4         0        0
996173609     350.0     349.9        16.6     56.4         0        0
996173910     350.0     349.9        15.7     56.4         0        0
996174211     350.0     349.9        15.4     56.4         0        0
996174512     350.0     349.9        15.4     56.4         0        0
996174813     350.0     349.9        16.8     56.4         0        0
996175114     350.0     349.9        16.4     56.4         0        0
996175415     350.0     349.9        15.1     56.4         0        0
996175716     350.0     349.9        15.7     56.4         0        0
996176018     350.0     349.9        15.1     56.4         0        0
996176319     350.0     349.9        15.7     56.4         0        0
996176620     350.0     349.9        17.1     56.4         0        0
996176921     350.0     349.9        16.3     56.4         0        0
996177222     350.0     349.9        15.9     56.4         0        0
996177523     350.0     349.9        16.5     56.4         0        0
